platform_number,date,date_update,latitude,longitude,ocean,profiler,institution,cyc,pressure_dbar,temperature_c,salinity_psu,depth_m,oxygen_umolkg,potential_density_kgm3,chlorophyll_mgm3,ph,nitrate_umolkg,qc_flag
5901064,2012-11-15,2021-05-01,-3.893,96.354,I,PROVOR,INCOIS (India),719,584.29,21.3,34.418,584.3,198.35,1022.274,0.027,8.111,9.21,GOOD
5901064,2013-02-26,2017-07-27,3.227,31.753,I,Teledyne Webb Research APEX,AOML (USA),717,732.72,15.088,34.589,732.7,237.92,1023.654,0.023,7.937,9.56,GOOD
5901064,2013-04-04,2018-03-05,-9.462,75.659,I,SOLO-II,JAMSTEC (Japan),424,912.14,16.352,34.505,912.1,201.6,1023.334,0.014,8.103,10.28,PROBABLY_GOOD
5901064,2013-09-10,2019-02-08,-35.666,89.316,I,SOLO-II,AOML (USA),767,1570.35,6.681,34.895,1570.4,177.03,1025.58,0.0,8.146,29.8,GOOD
5901064,2013-11-08,2019-10-16,13.726,59.31,I,NKE Arvor,AOML (USA),643,399.35,23.737,34.831,399.4,187.75,1022.117,0.12,7.805,7.44,GOOD
5901064,2014-03-03,2019-01-14,-37.32,79.748,I,NKE Arvor,INCOIS (India),739,1028.47,14.705,34.912,1028.5,240.94,1023.989,0.007,8.093,12.81,GOOD
5901064,2014-07-02,2016-05-01,-6.439,37.695,I,NKE Arvor,CSIRO (Australia),734,1184.83,12.08,34.464,1184.8,128.12,1024.155,0.003,8.052,23.48,INTERPOLATED
5901064,2015-01-10,2020-07-15,-35.358,112.429,I,Teledyne Webb Research APEX,CSIRO (Australia),773,92.9,26.168,34.772,92.9,216.24,1021.584,0.508,8.022,1.4,GOOD
5901064,2015-03-30,2018-04-21,-32.672,94.262,I,PROVOR,AOML (USA),795,1215.09,10.69,33.978,1215.1,154.9,1024.044,0.001,8.08,16.06,GOOD
5901064,2015-07-30,2021-03-12,-15.1,41.89,I,PROVOR,AOML (USA),694,341.05,25.012,34.858,341.0,146.3,1021.884,0.152,8.045,6.0,BAD
5901064,2016-01-20,2016-06-09,-30.179,108.447,I,SOLO-II,INCOIS (India),285,130.1,27.341,35.27,130.1,220.94,1021.748,0.357,8.092,2.51,GOOD
5901064,2016-12-27,2021-09-05,11.399,36.185,I,SOLO-II,JAMSTEC (Japan),203,1897.77,3.537,34.23,1897.8,144.68,1025.677,0.0,8.195,20.27,BAD
5901064,2017-11-01,2020-07-04,-39.992,66.706,I,PROVOR,IFREMER (France),369,1931.26,2.116,34.993,1931.3,195.08,1026.571,0.0,8.073,28.7,PROBABLY_GOOD
5901064,2017-12-05,2020-06-13,-8.923,70.214,I,Teledyne Webb Research APEX,AOML (USA),317,1616.79,7.523,34.556,1616.8,160.44,1025.14,0.0,7.953,19.86,BAD
5901064,2018-08-11,2017-01-12,-7.369,101.851,I,SOLO-II,IFREMER (France),464,609.23,21.104,35.121,609.2,85.72,1022.876,0.057,8.16,8.61,GOOD
5901064,2018-09-25,2015-03-27,20.508,71.326,I,Teledyne Webb Research APEX,AOML (USA),720,195.34,22.122,34.863,195.3,199.11,1022.466,0.229,8.138,2.11,GOOD
5901064,2019-01-07,2019-05-01,-18.727,88.117,I,NKE Arvor,INCOIS (India),596,1368.47,10.889,34.962,1368.5,185.05,1024.792,0.001,8.164,18.89,GOOD
5901064,2019-01-11,2021-04-22,13.464,49.513,I,PROVOR,IFREMER (France),691,880.3,13.263,34.826,880.3,103.6,1024.208,0.007,8.08,12.9,GOOD
5901064,2019-04-06,2016-01-10,6.095,91.654,I,Teledyne Webb Research APEX,JAMSTEC (Japan),454,244.08,25.987,35.331,244.1,152.06,1022.067,0.233,8.12,3.17,GOOD
5901064,2019-04-18,2019-09-30,24.366,47.509,I,NKE Arvor,CSIRO (Australia),601,990.35,13.287,34.939,990.4,107.72,1024.294,0.005,8.206,12.4,GOOD
5901064,2019-07-06,2016-09-08,-0.556,82.634,I,Teledyne Webb Research APEX,JAMSTEC (Japan),259,68.78,23.088,34.518,68.8,209.27,1021.997,0.748,8.044,1.26,GOOD
5901064,2019-07-13,2019-05-31,-25.235,46.079,I,Teledyne Webb Research APEX,IFREMER (France),564,1818.64,4.098,34.839,1818.6,235.52,1026.052,0.0,8.001,35.24,GOOD
5901064,2020-05-12,2017-07-23,-4.892,92.943,I,PROVOR,AOML (USA),758,517.56,21.145,34.652,517.6,213.98,1022.493,0.06,8.165,9.9,PROBABLY_GOOD
5901064,2020-05-26,2017-09-03,-7.059,102.012,I,Teledyne Webb Research APEX,CSIRO (Australia),446,1325.04,11.465,34.865,1325.0,219.57,1024.599,0.002,8.023,21.92,GOOD
5901064,2020-08-26,2018-08-03,-9.342,40.105,I,SOLO-II,CSIRO (Australia),214,623.42,17.026,34.632,623.4,159.29,1023.3,0.033,8.141,9.66,GOOD
5901064,2020-09-27,2021-02-12,-33.499,118.7,I,PROVOR,AOML (USA),207,1040.14,11.388,34.529,1040.1,201.88,1024.346,0.008,8.008,18.83,GOOD
5901064,2020-10-21,2017-03-26,12.751,98.135,I,PROVOR,CSIRO (Australia),470,1093.42,14.111,34.88,1093.4,179.64,1024.082,0.002,8.013,14.78,PROBABLY_GOOD
5901064,2020-11-15,2016-09-08,8.284,115.026,I,PROVOR,CSIRO (Australia),664,369.71,25.048,34.822,369.7,187.41,1021.848,0.183,8.074,3.71,GOOD
5901161,2005-02-02,2020-09-27,-19.45,102.654,I,PROVOR,CSIRO (Australia),25,1939.17,1.962,35.226,1939.2,218.3,1026.788,0.0,8.076,30.39,PROBABLY_GOOD
5901161,2005-03-31,2018-01-14,14.884,83.424,I,PROVOR,JAMSTEC (Japan),67,1550.27,8.331,34.634,1550.3,227.02,1025.041,0.0,7.99,24.46,GOOD
5901161,2005-04-22,2019-08-10,23.822,96.35,I,PROVOR,JAMSTEC (Japan),134,1879.0,4.321,34.008,1879.0,164.41,1025.342,0.0,8.18,22.12,PROBABLY_GOOD
5901161,2005-05-20,2021-01-05,-12.943,88.327,I,PROVOR,CSIRO (Australia),36,1789.65,4.696,34.654,1789.6,123.69,1025.784,0.0,8.017,20.86,GOOD
5901161,2005-07-30,2017-03-21,-21.585,62.035,I,SOLO-II,JAMSTEC (Japan),732,1195.8,12.467,34.149,1195.8,172.5,1023.826,0.002,8.107,17.77,GOOD
5901161,2006-08-19,2017-01-20,-23.982,51.176,I,Teledyne Webb Research APEX,INCOIS (India),310,1843.75,5.61,34.966,1843.8,171.23,1025.851,0.0,7.979,20.9,GOOD
5901161,2006-08-27,2021-10-14,-23.368,70.663,I,Teledyne Webb Research APEX,AOML (USA),82,176.99,23.467,34.13,177.0,191.38,1021.611,0.132,8.003,3.32,PROBABLY_GOOD
5901161,2007-01-21,2018-12-22,-10.241,91.257,I,Teledyne Webb Research APEX,INCOIS (India),560,391.97,22.955,34.405,392.0,213.32,1021.933,0.158,8.006,4.88,GOOD
5901161,2007-09-13,2021-07-31,20.299,69.007,I,SOLO-II,AOML (USA),84,90.45,25.198,34.655,90.4,103.42,1021.684,0.561,8.064,1.4,GOOD
5901161,2007-09-22,2021-04-04,0.244,48.142,I,SOLO-II,INCOIS (India),186,650.66,17.53,35.418,650.7,153.16,1023.828,0.043,8.064,10.0,GOOD
5901161,2007-12-13,2020-07-20,23.3,68.042,I,NKE Arvor,AOML (USA),124,777.35,15.611,34.371,777.4,141.44,1023.375,0.03,8.068,9.42,INTERPOLATED
5901161,2008-09-22,2017-01-07,-35.466,77.042,I,SOLO-II,IFREMER (France),544,542.7,16.988,34.805,542.7,230.04,1023.446,0.072,8.053,9.37,GOOD
5901161,2008-09-27,2018-09-06,23.824,34.467,I,PROVOR,INCOIS (India),111,1657.48,7.249,35.032,1657.5,171.67,1025.576,0.0,8.124,31.0,GOOD
5901161,2010-03-09,2016-02-19,-10.798,34.001,I,Teledyne Webb Research APEX,CSIRO (Australia),211,713.51,16.519,35.394,713.5,159.48,1024.011,0.017,8.123,12.58,GOOD
5901161,2010-05-11,2017-04-15,-13.522,58.424,I,SOLO-II,JAMSTEC (Japan),614,561.87,17.728,35.111,561.9,201.53,1023.543,0.058,8.017,7.92,GOOD
5901161,2010-06-15,2015-02-08,-12.708,74.369,I,NKE Arvor,AOML (USA),521,1085.39,13.69,35.238,1085.4,156.28,1024.452,0.002,8.063,11.74,PROBABLY_GOOD
5901161,2010-08-26,2021-08-22,7.45,81.569,I,Teledyne Webb Research APEX,INCOIS (India),337,281.85,23.846,35.146,281.8,179.39,1022.348,0.355,8.088,3.64,GOOD
5901161,2010-09-29,2021-04-24,3.916,78.768,I,SOLO-II,CSIRO (Australia),427,1604.39,7.884,34.316,1604.4,252.56,1024.876,0.0,8.109,29.33,GOOD
5901161,2010-12-07,2017-09-06,-28.092,48.847,I,PROVOR,AOML (USA),590,149.1,24.256,34.944,149.1,251.45,1022.104,0.618,8.092,2.12,PROBABLY_GOOD
5901161,2010-12-10,2020-04-17,-12.732,89.315,I,Teledyne Webb Research APEX,INCOIS (India),47,1973.77,3.13,35.139,1973.8,163.7,1026.485,0.0,8.025,22.35,GOOD
5901161,2011-01-08,2015-02-04,-19.394,68.559,I,PROVOR,CSIRO (Australia),738,1544.49,8.462,34.417,1544.5,172.71,1024.841,0.001,8.026,28.05,GOOD
5901161,2011-02-16,2019-02-11,-15.171,91.547,I,SOLO-II,JAMSTEC (Japan),52,397.43,23.094,34.568,397.4,155.24,1022.036,0.051,8.058,6.21,GOOD
5901161,2011-08-03,2016-05-24,12.365,95.403,I,Teledyne Webb Research APEX,IFREMER (France),653,11.04,26.949,34.479,11.0,102.97,1021.193,0.569,8.091,0.19,INTERPOLATED
5901161,2011-09-23,2017-03-21,20.992,54.411,I,NKE Arvor,JAMSTEC (Japan),67,1630.92,7.014,35.109,1630.9,221.45,1025.684,0.0,7.968,20.19,GOOD
5901161,2011-12-19,2015-09-30,14.737,51.266,I,NKE Arvor,INCOIS (India),767,1413.71,11.156,34.772,1413.7,276.85,1024.586,0.001,7.974,14.77,GOOD
5901161,2012-01-13,2019-06-13,18.003,101.834,I,Teledyne Webb Research APEX,IFREMER (France),717,1458.01,8.364,34.672,1458.0,162.26,1025.065,0.001,8.02,15.47,GOOD
5901161,2012-02-05,2019-11-15,-8.136,75.553,I,PROVOR,CSIRO (Australia),47,1542.54,6.556,34.287,1542.5,147.33,1025.118,0.0,8.059,30.21,PROBABLY_GOOD
5901161,2012-08-20,2020-06-23,21.95,31.2,I,SOLO-II,IFREMER (France),110,148.09,23.812,34.773,148.1,169.09,1022.056,0.308,8.0,2.38,GOOD
5901161,2013-05-05,2019-05-29,-13.618,87.626,I,PROVOR,AOML (USA),236,716.93,15.61,34.573,716.9,183.4,1023.536,0.017,8.018,7.97,GOOD
5901161,2013-09-30,2020-03-31,-18.765,119.059,I,Teledyne Webb Research APEX,INCOIS (India),250,231.74,26.631,34.897,231.7,134.58,1021.591,0.185,7.988,3.82,PROBABLY_GOOD
5901161,2013-10-13,2017-05-09,17.982,100.193,I,SOLO-II,IFREMER (France),685,1726.21,6.323,34.343,1726.2,161.66,1025.21,0.0,8.092,25.39,GOOD
5901161,2013-12-05,2015-01-24,-13.852,46.44,I,Teledyne Webb Research APEX,CSIRO (Australia),700,1246.6,11.538,34.871,1246.6,220.6,1024.589,0.001,7.895,17.76,GOOD
5901161,2013-12-11,2021-08-22,-17.053,71.207,I,Teledyne Webb Research APEX,JAMSTEC (Japan),640,661.8,18.801,34.624,661.8,185.1,1022.939,0.029,8.051,7.12,GOOD
5901161,2013-12-30,2020-10-20,-28.275,54.291,I,NKE Arvor,INCOIS (India),171,127.12,24.541,34.3,127.1,230.82,1021.532,0.64,7.999,1.43,BAD
5901161,2014-04-05,2015-07-31,-13.668,56.97,I,SOLO-II,INCOIS (India),100,621.96,15.725,34.269,622.0,194.59,1023.27,0.055,8.053,10.27,GOOD
5901161,2015-04-24,2015-02-04,4.758,86.02,I,NKE Arvor,CSIRO (Australia),505,650.37,18.989,34.329,650.4,136.44,1022.665,0.034,8.066,12.75,GOOD
5901161,2015-11-30,2016-05-02,-2.047,60.887,I,PROVOR,INCOIS (India),14,1459.21,8.685,34.717,1459.2,156.96,1025.037,0.001,7.815,18.18,GOOD
5901161,2016-02-05,2021-08-03,1.147,48.32,I,SOLO-II,IFREMER (France),634,1275.11,9.948,34.848,1275.1,189.94,1024.889,0.002,8.139,24.38,GOOD
5901161,2016-05-22,2017-09-13,-6.103,59.04,I,Teledyne Webb Research APEX,IFREMER (France),476,1774.43,5.39,34.908,1774.4,135.1,1025.848,0.0,8.108,18.21,BAD
5901161,2016-08-20,2016-10-03,-21.216,96.671,I,SOLO-II,CSIRO (Australia),373,944.43,13.75,34.923,944.4,129.91,1024.188,0.01,8.175,14.9,BAD
5901161,2016-08-22,2019-06-27,-16.706,35.299,I,NKE Arvor,JAMSTEC (Japan),579,239.19,21.301,34.497,239.2,132.31,1022.337,0.375,8.113,3.24,GOOD
5901161,2017-05-27,2021-01-24,24.22,107.538,I,Teledyne Webb Research APEX,INCOIS (India),581,1426.49,8.986,35.223,1426.5,200.63,1025.381,0.001,8.123,23.23,GOOD
5901161,2017-11-27,2021-12-04,-16.834,34.755,I,NKE Arvor,AOML (USA),714,1521.57,8.396,34.623,1521.6,165.35,1025.019,0.0,8.094,18.62,INTERPOLATED
5901161,2017-12-07,2017-05-01,-21.107,75.143,I,NKE Arvor,JAMSTEC (Japan),450,1122.55,13.876,34.98,1122.6,227.3,1024.209,0.005,8.177,14.46,GOOD
5901161,2018-02-05,2017-10-03,-13.497,65.736,I,NKE Arvor,IFREMER (France),506,1541.93,8.788,34.734,1541.9,144.14,1025.03,0.0,7.946,29.71,GOOD
5901161,2019-01-26,2016-02-03,8.658,73.163,I,NKE Arvor,CSIRO (Australia),629,987.59,14.035,34.95,987.6,81.7,1024.153,0.006,8.044,13.72,GOOD
5901161,2019-08-29,2019-01-28,-33.626,90.568,I,PROVOR,AOML (USA),376,1045.47,13.933,34.714,1045.5,174.77,1023.985,0.007,7.979,16.61,GOOD
5901161,2019-09-13,2020-02-22,22.158,65.707,I,NKE Arvor,JAMSTEC (Japan),7,855.08,17.089,34.957,855.1,245.9,1023.548,0.016,8.12,14.11,GOOD
5901161,2019-09-18,2018-03-30,-27.125,81.476,I,NKE Arvor,INCOIS (India),290,50.84,23.419,34.797,50.8,181.38,1022.154,0.304,8.072,0.89,GOOD
5901161,2019-11-19,2015-12-21,20.524,58.357,I,SOLO-II,AOML (USA),241,215.78,20.997,35.126,215.8,125.12,1022.901,0.359,8.18,4.2,GOOD
5901161,2019-12-31,2019-07-12,-38.759,82.383,I,Teledyne Webb Research APEX,AOML (USA),645,62.86,28.958,34.473,62.9,115.03,1020.787,0.212,8.063,1.07,GOOD
5901161,2020-07-05,2017-04-24,-21.496,36.973,I,NKE Arvor,INCOIS (India),589,1272.82,10.534,34.092,1272.8,227.92,1024.167,0.001,8.038,20.78,GOOD
5901161,2020-08-17,2015-07-04,-4.459,82.659,I,SOLO-II,CSIRO (Australia),716,628.71,21.073,34.411,628.7,147.7,1022.314,0.054,8.038,10.72,BAD
5901189,2005-03-29,2018-09-08,-3.261,77.915,I,NKE Arvor,JAMSTEC (Japan),146,1017.14,13.088,35.228,1017.1,241.67,1024.565,0.005,7.993,17.4,GOOD
5901189,2005-04-16,2019-04-07,-8.177,117.279,I,Teledyne Webb Research APEX,AOML (USA),682,1815.13,5.166,34.738,1815.1,206.16,1025.757,0.0,7.891,23.37,GOOD
5901189,2005-08-15,2019-05-08,-5.119,99.76,I,SOLO-II,INCOIS (India),652,498.58,18.2,34.837,498.6,149.22,1023.23,0.095,8.049,5.93,BAD
5901189,2006-12-12,2021-11-26,-10.113,31.079,I,PROVOR,CSIRO (Australia),250,820.77,15.7,34.379,820.8,226.69,1023.363,0.021,8.017,13.03,GOOD
5901189,2007-01-23,2019-08-12,-0.083,113.873,I,SOLO-II,AOML (USA),505,1511.1,9.013,34.826,1511.1,143.04,1025.058,0.001,8.016,29.3,GOOD
5901189,2007-02-13,2021-03-15,20.953,90.862,I,SOLO-II,JAMSTEC (Japan),240,457.6,19.615,34.391,457.6,122.11,1022.59,0.021,7.961,4.85,GOOD
5901189,2007-05-11,2015-05-13,-36.901,109.319,I,NKE Arvor,INCOIS (India),179,153.96,21.727,34.45,154.0,145.33,1022.215,0.346,8.059,2.73,GOOD
5901189,2007-09-23,2020-09-15,-23.593,110.206,I,PROVOR,JAMSTEC (Japan),630,579.5,18.22,34.639,579.5,210.75,1023.067,0.044,7.969,10.67,GOOD
5901189,2008-03-11,2021-05-16,5.07,42.538,I,PROVOR,CSIRO (Australia),112,322.44,19.256,34.978,322.4,225.52,1023.131,0.054,8.073,4.53,GOOD
5901189,2008-03-16,2020-01-10,-25.002,117.628,I,Teledyne Webb Research APEX,AOML (USA),153,1859.4,4.265,35.021,1859.4,164.16,1026.164,0.0,8.033,37.11,GOOD
5901189,2008-11-03,2018-09-02,-32.392,99.63,I,SOLO-II,JAMSTEC (Japan),232,1616.24,7.486,35.032,1616.2,105.27,1025.528,0.0,8.026,31.3,PROBABLY_GOOD
5901189,2009-06-27,2018-04-01,18.019,84.974,I,Teledyne Webb Research APEX,CSIRO (Australia),622,1266.81,10.052,34.165,1266.8,117.73,1024.322,0.002,7.926,22.73,GOOD
5901189,2011-03-27,2017-10-07,-27.395,115.639,I,PROVOR,CSIRO (Australia),476,1742.92,5.413,34.797,1742.9,137.29,1025.755,0.0,8.077,20.01,INTERPOLATED
5901189,2011-03-30,2016-09-25,-14.511,114.023,I,NKE Arvor,CSIRO (Australia),615,1607.34,6.082,34.721,1607.3,128.24,1025.56,0.0,8.119,17.73,GOOD
5901189,2011-06-07,2017-01-16,-18.234,44.792,I,NKE Arvor,IFREMER (France),675,373.14,22.327,34.187,373.1,190.62,1021.884,0.077,8.041,5.56,GOOD
5901189,2011-08-10,2016-09-12,-33.443,94.975,I,PROVOR,AOML (USA),470,1785.12,3.546,34.806,1785.1,257.52,1026.136,0.0,8.005,21.16,GOOD
5901189,2012-02-23,2018-12-31,10.478,38.958,I,PROVOR,JAMSTEC (Japan),286,1078.68,14.032,34.7,1078.7,211.83,1023.954,0.002,8.099,11.93,GOOD
5901189,2012-04-22,2018-02-03,19.326,75.276,I,Teledyne Webb Research APEX,INCOIS (India),505,1614.88,6.761,35.005,1614.9,134.87,1025.652,0.0,8.113,22.95,GOOD
5901189,2013-03-18,2015-12-28,-0.673,75.077,I,SOLO-II,INCOIS (India),641,1792.18,5.952,34.832,1792.2,152.22,1025.675,0.0,8.017,28.39,PROBABLY_GOOD
5901189,2013-04-06,2020-10-20,-13.432,72.615,I,SOLO-II,IFREMER (France),520,636.01,21.1,34.58,636.0,160.03,1022.444,0.017,8.266,8.87,GOOD
5901189,2013-04-10,2017-12-06,9.918,48.577,I,SOLO-II,INCOIS (India),530,220.1,24.988,35.17,220.1,195.57,1022.138,0.405,8.148,2.63,GOOD
5901189,2013-06-25,2020-06-08,-39.107,95.179,I,SOLO-II,INCOIS (India),630,455.87,18.079,33.912,455.9,242.85,1022.514,0.134,8.169,7.48,BAD
5901189,2013-07-30,2019-05-10,-2.927,86.593,I,SOLO-II,CSIRO (Australia),518,854.22,17.032,34.774,854.2,161.3,1023.413,0.003,8.084,14.06,INTERPOLATED
5901189,2013-08-30,2018-02-01,-7.653,46.127,I,PROVOR,AOML (USA),332,1636.03,7.246,34.095,1636.0,241.55,1024.827,0.0,8.083,20.36,GOOD
5901189,2013-09-17,2020-08-06,-35.295,42.119,I,NKE Arvor,INCOIS (India),292,1721.46,5.051,34.435,1721.5,264.16,1025.538,0.0,7.973,33.56,GOOD
5901189,2013-09-22,2015-06-04,-19.753,113.985,I,SOLO-II,JAMSTEC (Japan),633,13.9,26.633,35.01,13.9,166.0,1021.681,1.369,8.031,0.25,INTERPOLATED
5901189,2013-12-05,2020-06-02,-32.79,89.3,I,Teledyne Webb Research APEX,IFREMER (France),382,1021.49,14.967,34.29,1021.5,164.97,1023.439,0.003,8.055,12.28,GOOD
5901189,2013-12-22,2015-04-20,-14.848,33.079,I,PROVOR,JAMSTEC (Japan),374,834.82,18.253,34.231,834.8,165.58,1022.734,0.006,8.106,9.42,GOOD
5901189,2014-06-14,2021-06-20,-5.907,100.168,I,PROVOR,CSIRO (Australia),703,444.22,18.815,35.753,444.2,182.5,1023.839,0.145,8.011,6.27,GOOD
5901189,2014-12-02,2020-10-15,24.686,109.665,I,NKE Arvor,INCOIS (India),694,239.73,24.175,34.256,239.7,165.67,1021.57,0.417,7.984,2.45,PROBABLY_GOOD
5901189,2015-01-12,2019-01-30,-27.77,70.494,I,Teledyne Webb Research APEX,JAMSTEC (Japan),434,675.23,17.664,35.46,675.2,215.37,1023.835,0.016,8.143,11.21,GOOD
5901189,2015-08-07,2019-12-10,-35.612,80.433,I,PROVOR,AOML (USA),695,1885.82,2.395,34.731,1885.8,118.05,1026.306,0.0,8.06,29.43,PROBABLY_GOOD
5901189,2016-04-29,2016-08-07,-20.129,52.934,I,Teledyne Webb Research APEX,CSIRO (Australia),167,646.41,15.364,34.59,646.4,158.62,1023.599,0.045,8.126,12.82,GOOD
5901189,2016-06-01,2016-08-26,-39.075,34.586,I,SOLO-II,INCOIS (India),90,1037.58,11.956,35.027,1037.6,193.17,1024.63,0.007,8.06,11.64,GOOD
5901189,2016-09-04,2017-12-07,-33.984,100.101,I,PROVOR,CSIRO (Australia),376,1406.04,9.154,35.335,1406.0,214.8,1025.437,0.0,8.003,27.59,GOOD
5901189,2016-10-24,2020-04-24,22.742,69.798,I,PROVOR,JAMSTEC (Japan),184,727.26,18.096,34.342,727.3,267.81,1022.854,0.028,8.049,13.21,INTERPOLATED
5901189,2016-12-17,2020-11-14,-11.462,59.845,I,SOLO-II,CSIRO (Australia),760,1943.56,2.655,34.596,1943.6,128.44,1026.146,0.0,7.857,24.54,BAD
5901189,2018-01-18,2018-02-28,23.075,32.417,I,PROVOR,JAMSTEC (Japan),108,1924.89,4.122,35.139,1924.9,153.92,1026.287,0.0,8.128,24.49,GOOD
5901189,2018-01-28,2019-04-30,6.245,53.32,I,SOLO-II,INCOIS (India),609,503.56,19.653,34.915,503.6,89.34,1023.001,0.033,8.095,8.66,GOOD
5901189,2018-03-12,2020-07-10,13.809,90.558,I,SOLO-II,AOML (USA),125,994.5,16.012,35.241,994.5,135.61,1023.99,0.002,8.143,15.66,GOOD
5901189,2018-04-18,2021-12-10,23.568,98.63,I,Teledyne Webb Research APEX,INCOIS (India),292,601.76,18.526,35.006,601.8,109.24,1023.3,0.028,8.034,10.35,INTERPOLATED
5901189,2018-04-27,2016-04-28,-36.212,61.747,I,Teledyne Webb Research APEX,IFREMER (France),694,569.68,20.151,35.523,569.7,159.15,1023.388,0.072,8.207,10.04,BAD
5901189,2018-05-03,2020-11-20,-10.134,97.77,I,PROVOR,INCOIS (India),343,73.77,27.3,34.871,73.8,170.87,1021.437,0.179,8.148,1.09,PROBABLY_GOOD
5901189,2019-03-01,2021-12-30,-30.862,111.155,I,SOLO-II,IFREMER (France),601,1219.13,13.339,34.889,1219.1,198.78,1024.243,0.0,7.912,21.4,GOOD
5901189,2019-05-13,2019-09-28,24.488,119.62,I,Teledyne Webb Research APEX,INCOIS (India),556,1005.36,13.854,34.929,1005.4,168.06,1024.172,0.004,7.911,17.34,GOOD
5901189,2019-11-02,2019-02-21,-20.932,76.963,I,NKE Arvor,JAMSTEC (Japan),161,102.96,27.505,34.743,103.0,198.8,1021.293,0.169,8.071,1.43,GOOD
